quantity,value
bond_length,
rhf_energy,-1.229779276655424
uhf_energy,-1.8663345840893848
fci_energy,-1.8663437074991578
n_fci_configs,36
n_configs_below_uhf,25
n_configs_reach_fci,Never
max_subspace_size,36
min_qsci_energy,-1.8663437074991598
energy_diff_to_fci,-1.9984014443252818e-15
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,25
n_configs_chemacc_spin_symm,11
n_qubits,8
one_q_gates,110
two_q_gates,16
