subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.182770827867731,0.0,-1.182770827867731,0.0,-1.2297792766554232,7.730769230769231
2,-1.2062764308480618,0.9999999999999996,-1.2062764308480625,0.9999999999999996,-1.2297792766554232,7.942249240121582
3,-1.2147879156735961,0.9999999999999997,-1.362190705442144,1.9999999999999996,-1.4239952069925244,7.942249240121582
4,-1.2147879156735977,0.9999999999997929,-1.4301819277430292,1.7176613840577362,-1.5132683906399356,10.369047619047619
5,-1.430181927743029,1.717661384057736,-1.524582339312036,1.9999999999999998,-1.7312274275827195,10.369047619047619
6,-1.4420097755295664,0.4753791139480274,-1.5245823393120355,2.000000000000001,-1.8663358473960565,10.933054393305442
7,-1.442009775529566,0.47537911394802773,-1.5245823393120357,2.0000000000000004,-1.8663358474551908,10.933054393305442
8,-1.5375309068459742,1.505907689697938,-1.5276153194203064,3.9914534989477897,-1.8663358475453742,10.933054393305442
9,-1.5378119524238412,1.5060125884133275,-1.6348994776814851,4.425271132086761,-1.8663358478720653,10.933054393305442
10,-1.5378119524238432,1.5060125884133064,-1.7354598807704464,5.234557643042958,-1.8663359357530724,10.933054393305442
11,-1.5378119524238432,1.5060125884132283,-1.866318781135539,6.000000000000002,-1.8663359359017029,10.933054393305442
12,-1.5378490848381934,1.4769220680982524,-1.8663187811355364,6.000000000000001,-1.8663380263182159,23.754545454545454
13,-1.538178063006381,1.5049648614921394,-1.8663187811355386,5.999999999999998,-1.8663388354207475,26.39393939393939
14,-1.5382017008059476,1.4778188446098177,-1.8663187811355373,5.999999999999999,-1.8663394444727777,26.39393939393939
15,-1.5385133113684537,1.4786586714017966,-1.8663187811355388,6.0000000000000036,-1.866341388179218,27.50526315789474
16,-1.5385133113684923,1.4786586721193469,-1.8663187811355373,6.000000000000003,-1.8663429738311657,27.50526315789474
17,-1.5385337621358701,1.5074736595910234,-1.866318781135539,6.0,-1.8663429889291616,28.71428571428571
18,-1.6054379211910146,1.8106390044885754,-1.8663187811355386,6.0,-1.8663430008415811,28.71428571428571
19,-1.6090986908925202,1.946522873455189,-1.8663187811355382,6.0,-1.866343706337884,30.03448275862069
20,-1.6701825410011963,1.7075550626466371,-1.866318781135539,6.000000000000001,-1.8663437074991607,30.03448275862069
21,-1.6701825410013356,1.7075550619513,-1.8663187811355384,5.999999999999999,-1.8663437074991556,30.383720930232563
22,-1.7770593962694043,1.8679928251820743,-1.8663187811355382,6.0,-1.866343707499164,30.383720930232563
23,-1.7770859494428919,1.8676110754833113,-1.8663187811355375,6.0000000000000036,-1.8663437074991636,31.481927710843372
24,-1.7770859494428914,1.8676110754833104,-1.8663187811355377,6.000000000000002,-1.8663437074991622,31.481927710843372
25,-1.8663346055524408,1.9999999991022075,-1.8663187811355386,6.000000000000002,-1.8663437074991607,32.662499999999994
26,-1.8663346055524412,1.999999999102196,-1.8663187811355377,6.000000000000002,-1.8663437074991656,32.662499999999994
27,-1.8663346055524406,1.9999999991021835,-1.8663187811355382,6.0,-1.8663437074991613,36.29166666666667
28,-1.8663346055524428,1.9999999991021835,-1.8663293163248798,2.0,-1.8663437074991645,36.29166666666667
29,-1.8663346055524412,1.9999999991021853,-1.8663293163248804,2.0,-1.8663437074991591,39.0
30,-1.866334605552445,1.999999999102155,-1.8663293163248813,2.0000000000000004,-1.86634370749916,39.0
31,-1.866342485186698,1.3788405619043345e-05,-1.8663293163248804,2.0,-1.8663437074991587,79.18181818181819
32,-1.866342485243617,1.3795102608418004e-05,-1.8663367657307637,2.0000000000000004,-1.8663437074991582,79.18181818181819
33,-1.866343704944533,0.0003545382538645342,-1.8663367657307632,1.9999999999999996,-1.8663437074991582,81.65625
34,-1.8663437049445326,0.0003545382538342448,-1.8663424852774984,8.012433246343533e-18,-1.866343707499164,137.52631578947367
35,-1.8663437049445317,0.00035453825389354757,-1.8663424853344621,2.403705416069857e-17,-1.8663437074991598,373.28571428571433
36,-1.8663437074991576,1.5486849970792776e-17,-1.8663437074991567,-4.153894251589483e-18,-1.86634370749916,435.5
