basis,n_orbitals,rhf_energy,uhf_energy,fci_energy,n_fci_configs,max_subspace_size,min_qsci_energy,energy_diff_to_fci,n_configs_below_uhf,n_configs_reach_fci
sto-3g,3,-0.9557494651389887,-0.9990890121059736,-1.0497564809410105,5,9,-1.0497564809410114,-8.881784197001252e-16,5,9
sto-6g,3,-0.9643624770298721,-1.0076597272775443,-1.058252039731741,5,9,-1.0582520397317405,4.440892098500626e-16,5,9
3-21g,6,-1.0435308642827854,-1.0612288137260348,-1.1056091788224438,20,33,-1.1042832957496758,0.0013258830727680415,4,Never
6-31g,6,-1.0465882364452788,-1.063228636595622,-1.1073289852310557,24,32,-1.0883710049021653,0.0189579803288904,4,Never
6-31g*,6,-1.0465882364452792,-1.063228636594367,-1.1073289852310566,24,33,-1.1056787875468266,0.0016501976842300259,4,Never
