basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
3-21g,1,-1.0435308642827859,-1.0435308642827859,1.5192798770860967
3-21g,2,-1.0435308642827859,-1.0783740660609806,5.256507512804742
3-21g,3,-1.0435308642827859,-1.1012929537530147,8.662107477864156
3-21g,4,-1.0823046577968625,-1.101950240374713,29.96974666803591
3-21g,5,-1.0824011626927543,-1.102569208157943,817.9966845894187
3-21g,6,-1.0824875401919976,-1.1033362124724175,1915.6240668170271
3-21g,7,-1.082788829812364,-1.1040341469407613,3142.486902999592
3-21g,8,-1.0840750003747757,-1.104737380636672,4663.772162927522
3-21g,9,-1.0844870542005143,-1.1053782380502455,5369.4370367061665
3-21g,10,-1.0857865075885664,-1.105472911744264,6627.806009150897
3-21g,11,-1.0858679347693792,-1.105563185934506,10872.589220486172
3-21g,12,-1.0859420910579471,-1.1056091788224451,30613.60938761217
3-21g,13,-1.08613475883556,-1.1056091788224445,1031392.6743908458
3-21g,14,-1.0861512152743602,-1.1056091788224474,1691948.8678738442
3-21g,15,-1.0861658244564656,-1.105609178822446,6770196.175112065
3-21g,16,-1.0863527911413513,-1.1056091788224487,11106173.272492997
3-21g,17,-1.086352791141365,-1.1056091788224447,949913505244.8898
3-21g,18,-1.0863527911413686,-1.1056091788224467,1453342558160.4485
3-21g,19,-1.086352791141372,-1.1056091788224438,3286575141382.91
3-21g,20,-1.0863527911413682,-1.105609178822447,8286168750578.161
3-21g,21,-1.086352791141374,-1.1056091788224456,86278983774233.31
3-21g,22,-1.0863527911413717,-1.105609178822444,165224408604627.16
3-21g,23,-1.0863527911413744,-1.1056091788224456,298513877032490.0
3-21g,24,-1.0863527911413737,-1.1056091788224465,511443684377186.44
3-21g,25,-1.0863527911413726,-1.1056091788224465,942019707428158.8
3-21g,26,-1.0863527911413753,-1.105609178822444,1832485260756923.8
3-21g,27,-1.0863527911413733,-1.1056091788224471,3006101787728236.0
3-21g,28,-1.0863527911413724,-1.105609178822449,3357183119223425.5
3-21g,29,-1.0863527911413746,-1.1056091788224447,4.645353614004822e+16
3-21g,30,-1.086352791141378,-1.105609178822449,2.0832754933900947e+17
3-21g,31,-1.0863527911413737,-1.105609178822447,3.049270762772601e+17
3-21g,32,-1.0863527911413733,-1.105609178822446,3.417510808381661e+17
3-21g,33,-1.1042832957496758,-1.1056091788224467,9.086869013106342e+23
