basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
3-21g,1,-1.0435308642827876,-1.0435308642827876,1.5192873823612323
3-21g,2,-1.0435308642827876,-1.0783740660609826,5.256456167047475
3-21g,3,-1.0435308642827879,-1.1012929537530174,8.66205766546223
3-21g,4,-1.0823046577968733,-1.1019502403747168,29.969133531653313
3-21g,5,-1.0824011626927623,-1.1025692081579455,817.985874114627
3-21g,6,-1.0824875401920024,-1.1033362124723884,1915.611339012809
3-21g,7,-1.082788829812372,-1.104034146940708,3142.399246032473
3-21g,8,-1.08407500037473,-1.1047373806365932,4663.660669716381
3-21g,9,-1.0844870542004612,-1.1053782380501511,5369.301379183437
3-21g,10,-1.0857865075884634,-1.1054729117441677,6627.664491605596
3-21g,11,-1.0858679347692781,-1.1055631859344153,10872.126029547557
3-21g,12,-1.0859420910578432,-1.1056091788223554,30612.508673276534
3-21g,13,-1.0861347588354602,-1.1056091788223732,1031367.0960466912
3-21g,14,-1.086151215274258,-1.1056091788223974,1691870.9547157
3-21g,15,-1.0861658244563612,-1.1056091788224232,6769946.702614936
3-21g,16,-1.0863527911412543,-1.105609178822448,11105528.02685981
3-21g,17,-1.086352791141265,-1.105609178822447,20964238903234.97
3-21g,18,-1.086352791141264,-1.1056091788224516,39923283112920.85
3-21g,19,-1.0863527911412645,-1.1056091788224502,42400653636102.94
3-21g,20,-1.0863527911412687,-1.10560917882245,52367039522606.53
3-21g,21,-1.08635279114132,-1.105609178822445,119525409346927.34
3-21g,22,-1.0863527911413269,-1.1056091788224462,146698498176269.03
3-21g,23,-1.0863527911413733,-1.1056091788224507,181180368532573.1
3-21g,24,-1.0863527911413722,-1.1056091788224476,227618411456320.38
3-21g,25,-1.0863527911413882,-1.1056091788224507,2.2828555104134e+16
3-21g,26,-1.086352791141391,-1.105609178822452,2.6433006831397424e+16
3-21g,27,-1.0863527911413893,-1.1056091788224467,2.8194467416447284e+16
3-21g,28,-1.0863527911413864,-1.1056091788224451,4.3361123963778664e+16
3-21g,29,-1.0863527911414004,-1.1056091788224494,5.0337740383830936e+16
3-21g,30,-1.0863527911414044,-1.1056091788224496,8.257482831076042e+16
3-21g,31,-1.0863527911413962,-1.1056091788224496,1.498478106830958e+17
3-21g,32,-1.0863527911414061,-1.1056091788224474,1.850699352789138e+17
