basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
sto-6g,1,-0.9643624770298721,-0.9643624770298721,1.767342317908038
sto-6g,2,-0.9643624770298721,-1.0237379508062951,6.296450711373273
sto-6g,3,-0.9716863949269157,-1.05825203973174,8.496778921057013
sto-6g,4,-0.9716863949269157,-1.0582520397317428,14.556711305587584
sto-6g,5,-1.0335027000953925,-1.0582520397317428,30.27118693406099
sto-6g,6,-1.0335027000953938,-1.0582520397317405,36.269826694244905
sto-6g,7,-1.0335027000953922,-1.0582520397317412,51.86070311710352
sto-6g,8,-1.0335027000953942,-1.0582520397317416,174.37295299465964
sto-6g,9,-1.0582520397317405,-1.0582520397317412,298.73635171977463
