basis,subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
sto-3g,1,-0.9557494651389887,-0.9557494651389887,1.7678710885976785
sto-3g,2,-0.9557494651389887,-1.0151833734862132,6.296011069513936
sto-3g,3,-0.9631396163155221,-1.049756480941012,8.49050268866515
sto-3g,4,-0.9631396163155225,-1.049756480941011,14.563182531434625
sto-3g,5,-1.024924318410138,-1.0497564809410096,30.237667926328587
sto-3g,6,-1.0249243184101382,-1.0497564809410111,36.209534402551
sto-3g,7,-1.0249243184101384,-1.049756480941012,51.86461785400616
sto-3g,8,-1.0249243184101395,-1.0497564809410107,173.90247014223186
sto-3g,9,-1.0497564809410114,-1.0497564809410103,298.2830944426502
