bond_length,eps1,subspace_size,hci_energy_var,hci_energy_pt2,abs_error_to_fci_var,abs_error_to_fci_pt2,rhf_energy,uhf_energy,fci_energy,n_fci_configs
1.0,0.0001,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
1.0,0.0002,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
1.0,0.0005,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
1.0,0.001,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
1.0,0.002,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
1.0,0.005,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
1.0,0.01,,,,,,-3.1355322139663233,-3.1369459346082875,-3.2360662798923423,200
