subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.3148689115900822,1.0,-1.3148689115900822,1.0,-1.8291374123526842,7.421666666666665
2,-1.5167096545811791,1.0,-1.473853542634503,2.0,-1.8735208475530283,7.421666666666665
3,-1.6338358991202293,1.0000000000000002,-1.5167096545811791,1.0,-1.9079657757286943,11.077114427860694
4,-1.633835899120229,1.0000000000000002,-1.63182686931235,2.000000000000001,-1.941457388251403,11.077114427860694
5,-1.633835899120229,1.0000000000000002,-1.6583271564262951,1.069289360817477,-1.9664265317155691,13.617737003058103
6,-1.8663595452859179,0.06036047025897563,-1.7940156906872633,2.0,-1.968155310170229,13.617737003058103
7,-1.8668101147697644,0.05496450972632647,-1.7940156906872622,2.0000000000000004,-1.970256156328526,15.461805555555557
8,-1.881220719880908,0.0438108056496348,-1.7940156906872624,2.0000000000000004,-1.9809173024867175,15.790780141843967
9,-1.8812207198809079,0.04381080564963486,-1.794015690687263,2.0,-1.9860071959284007,15.790780141843967
10,-1.881220719880908,0.0438108056496354,-1.7940156906872626,2.0,-1.9920115342831468,15.790780141843967
11,-1.881220719880908,0.0438108056496354,-1.7940156906872633,2.0000000000000004,-1.9931659418249839,15.790780141843967
12,-1.8812207198809074,0.04381080564963489,-1.7940156906872633,2.0000000000000004,-1.9949932061673263,15.790780141843967
13,-1.8831927021160126,0.06281334511902598,-1.7940156906872633,2.0000000000000004,-1.9953000176797588,15.790780141843967
14,-1.9224842869160785,0.05933927342075936,-1.9033611569409625,3.697785493223493e-29,-1.9955583922297,19.277056277056275
15,-1.9224842869160785,0.059339273420759384,-1.9033611569409628,-1.6269468763398027e-18,-1.995874738914185,26.82530120481928
16,-1.9375430328158996,0.06898666343801003,-1.9033611569409612,-8.637518083874937e-20,-1.9961311937337718,26.82530120481928
17,-1.9375430328159005,0.06898666343800929,-1.903361156940962,1.626946876398203e-18,-1.9961417629283285,28.915584415584416
18,-1.9375430328159002,0.06898666343800998,-1.9033611569409625,8.637518086349988e-20,-1.9961490310003112,28.915584415584416
19,-1.9375430328158987,0.06898666343800983,-1.9033611569409623,-1.5405716954763767e-18,-1.9961498666085806,30.5
20,-1.9375430328159002,0.06898666343800972,-1.9054051046119955,0.0073821842163979195,-1.9961503255188093,38.059829059829056
21,-1.9375430328159002,0.0689866634380102,-1.906274917313732,3.264218717485848e-18,-1.9961503255188082,38.059829059829056
