subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.1938442321515998,1.0,-1.1938442321515992,1.0,-1.2297792766554243,4.0
2,-1.20627643084806,1.0000000000000002,-1.3596285051057013,1.9999999999999998,-1.2297792766554243,4.0
3,-1.2062764308480607,0.9999999999999999,-1.3596285051057013,2.0,-1.423995206994207,6.0
4,-1.237946929403226,1.0000000000000002,-1.3621907054457145,2.0,-1.5132683906422253,6.0
5,-1.2379469294032255,0.9999999999999896,-1.3622624430844064,1.9996317028817616,-1.731227427583598,12.0
6,-1.237947014186975,0.9999999999999896,-1.3630840829267077,1.9946847384521644,-1.86633584739606,12.0
7,-1.4178346819213432,1.6999762802336487,-1.4178671082172944,1.697785429717897,-1.8663358474551959,12.0
8,-1.5119599527482435,1.9994102209861602,-1.4427467336805861,1.7077238496726945,-1.8663358475453746,12.0
9,-1.5119599527482404,1.9994102209861606,-1.548060420731491,1.9999999493649088,-1.866335847872065,12.0
10,-1.5119599527482421,1.9994102209861602,-1.5480605090103523,2.0000000000000004,-1.8663359357530713,12.0
11,-1.5119599527482421,1.9994102209861606,-1.5480605090103525,2.0,-1.8663359359017058,12.0
12,-1.5119599527482426,1.9994102209861597,-1.5480605090103514,2.000000000000001,-1.8663380263182188,24.0
