quantity,value
bond_length,
rhf_energy,-1.8291374123526851
uhf_energy,-1.9327383581458988
fci_energy,-1.9961503255188093
n_fci_configs,20
n_configs_below_uhf,39
n_configs_reach_fci,Never
max_subspace_size,253
min_qsci_energy,-1.9961503255188184
energy_diff_to_fci,-9.103828801926284e-15
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,190
n_configs_chemacc_spin_symm,210
n_qubits,8
one_q_gates,107
two_q_gates,16
