subspace_size,fci_subspace_energy,fci_energy
295,-2.847192133955613,-2.847192133955601
296,-2.8471921339556023,-2.847192133955601
297,-2.8471921339555997,-2.847192133955601
298,-2.8471921339556143,-2.847192133955601
299,-2.8471921339556054,-2.847192133955601
300,-2.8471921339556063,-2.847192133955601
301,-2.847192133955611,-2.847192133955601
302,-2.847192133955615,-2.847192133955601
303,-2.847192133955604,-2.847192133955601
304,-2.8471921339556028,-2.847192133955601
305,-2.8471921339556108,-2.847192133955601
306,-2.847192133955608,-2.847192133955601
307,-2.847192133955614,-2.847192133955601
308,-2.847192133955603,-2.847192133955601
309,-2.8471921339555997,-2.847192133955601
310,-2.8471921339555952,-2.847192133955601
311,-2.8471921339556054,-2.847192133955601
312,-2.8471921339556054,-2.847192133955601
313,-2.847192133955609,-2.847192133955601
314,-2.847192133955601,-2.847192133955601
315,-2.847192133955611,-2.847192133955601
316,-2.8471921339556054,-2.847192133955601
317,-2.847192133955608,-2.847192133955601
318,-2.8471921339556006,-2.847192133955601
319,-2.847192133955612,-2.847192133955601
320,-2.8471921339555992,-2.847192133955601
321,-2.847192133955606,-2.847192133955601
322,-2.8471921339555983,-2.847192133955601
323,-2.8471921339556037,-2.847192133955601
324,-2.8471921339555952,-2.847192133955601
325,-2.8471921339555872,-2.847192133955601
326,-2.8471921339556063,-2.847192133955601
327,-2.847192133955596,-2.847192133955601
328,-2.847192133955605,-2.847192133955601
329,-2.8471921339555997,-2.847192133955601
330,-2.847192133955589,-2.847192133955601
331,-2.8471921339555943,-2.847192133955601
332,-2.847192133955602,-2.847192133955601
333,-2.8471921339555926,-2.847192133955601
334,-2.847192133955607,-2.847192133955601
335,-2.8471921339556103,-2.847192133955601
336,-2.8471921339556125,-2.847192133955601
337,-2.847192133955597,-2.847192133955601
338,-2.847192133955616,-2.847192133955601
339,-2.8471921339555974,-2.847192133955601
340,-2.847192133955611,-2.847192133955601
341,-2.8471921339556117,-2.847192133955601
342,-2.8471921339555992,-2.847192133955601
343,-2.847192133955612,-2.847192133955601
344,-2.8471921339556068,-2.847192133955601
345,-2.8471921339556077,-2.847192133955601
346,-2.847192133955603,-2.847192133955601
347,-2.84719213395561,-2.847192133955601
348,-2.847192133955606,-2.847192133955601
349,-2.847192133955605,-2.847192133955601
350,-2.847192133955603,-2.847192133955601
351,-2.847192133955595,-2.847192133955601
352,-2.8471921339555917,-2.847192133955601
353,-2.847192133955601,-2.847192133955601
354,-2.8471921339556125,-2.847192133955601
355,-2.8471921339556028,-2.847192133955601
356,-2.8471921339556046,-2.847192133955601
357,-2.8471921339556063,-2.847192133955601
358,-2.8471921339556094,-2.847192133955601
359,-2.8471921339556054,-2.847192133955601
360,-2.8471921339555926,-2.847192133955601
361,-2.8471921339555983,-2.847192133955601
362,-2.847192133955589,-2.847192133955601
363,-2.847192133955617,-2.847192133955601
364,-2.8471921339556014,-2.847192133955601
365,-2.8471921339556054,-2.847192133955601
366,-2.847192133955602,-2.847192133955601
367,-2.847192133955595,-2.847192133955601
368,-2.8471921339556,-2.847192133955601
369,-2.8471921339555926,-2.847192133955601
370,-2.847192133955601,-2.847192133955601
371,-2.847192133955598,-2.847192133955601
372,-2.8471921339556,-2.847192133955601
373,-2.8471921339556086,-2.847192133955601
374,-2.8471921339556037,-2.847192133955601
375,-2.84719213395561,-2.847192133955601
376,-2.8471921339556077,-2.847192133955601
377,-2.8471921339555912,-2.847192133955601
378,-2.8471921339556046,-2.847192133955601
379,-2.8471921339555974,-2.847192133955601
380,-2.8471921339556023,-2.847192133955601
381,-2.8471921339555935,-2.847192133955601
382,-2.8471921339556006,-2.847192133955601
383,-2.8471921339556,-2.847192133955601
384,-2.8471921339555903,-2.847192133955601
385,-2.847192133955598,-2.847192133955601
386,-2.8471921339556037,-2.847192133955601
387,-2.8471921339555957,-2.847192133955601
388,-2.8471921339556068,-2.847192133955601
389,-2.8471921339555943,-2.847192133955601
390,-2.847192133955609,-2.847192133955601
391,-2.8471921339556148,-2.847192133955601
392,-2.8471921339555912,-2.847192133955601
393,-2.8471921339556077,-2.847192133955601
394,-2.8471921339556108,-2.847192133955601
395,-2.84719213395561,-2.847192133955601
396,-2.8471921339556188,-2.847192133955601
397,-2.8471921339556125,-2.847192133955601
398,-2.8471921339556063,-2.847192133955601
399,-2.847192133955601,-2.847192133955601
400,-2.847192133955602,-2.847192133955601
