bond_length,subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,fci_energy,rhf_energy,uhf_energy
2.0,1,-2.3684212842799903,-2.3684212842799903,-2.3684212842799903,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,2,-2.4124392414062146,-2.4124392414062146,-2.4124392414062146,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,3,-2.418812009485559,-2.454768635292471,-2.434466278620976,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,4,-2.4252191387010456,-2.4584046577800636,-2.4871845549746863,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,5,-2.452352253464522,-2.462637934175445,-2.5334198157026178,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,6,-2.453722947126829,-2.4719250465127645,-2.5570312336105423,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,7,-2.455111179120075,-2.491368982125395,-2.5980858084936513,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,8,-2.465385410954434,-2.4919151755998032,-2.6338216476590715,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,9,-2.5036132400098663,-2.536637105952004,-2.6485701759156237,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,10,-2.5424492767007973,-2.5562013388373206,-2.6488808405717705,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,11,-2.5608428638999237,-2.559401984696988,-2.6492586938536924,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,12,-2.564280210399791,-2.5765595627885354,-2.6597513177292145,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,13,-2.5676930087020176,-2.5774161614354294,-2.6603461791240823,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,14,-2.5851912250841407,-2.578065291361823,-2.689218006888864,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,15,-2.603438316675329,-2.5793775024206025,-2.7168830145238445,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,16,-2.606501031257357,-2.5959487628193054,-2.717308868066618,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,17,-2.60916288673256,-2.618329055185951,-2.7178010595986724,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,18,-2.613654963228047,-2.619625553303312,-2.7354108019708834,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,19,-2.6181933198967164,-2.6236557608656854,-2.7532537391135405,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,20,-2.6363182579235946,-2.626270532326878,-2.7688042731063387,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,21,-2.6534944859235416,-2.6314437299437197,-2.7844373070885697,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,22,-2.658120617774445,-2.638577381095633,-2.792861465760512,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,23,-2.6627072360602853,-2.640055488038632,-2.7930092954198438,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,24,-2.6629887217263257,-2.644668664247475,-2.7931733518507693,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,25,-2.6631790386444445,-2.6516573215750237,-2.811079210586532,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,26,-2.67654454028179,-2.6541217680353304,-2.8292825635468914,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,27,-2.690316432017917,-2.658285466334051,-2.829315664264058,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,28,-2.6904859825074414,-2.6623940141387576,-2.8293803935611903,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,29,-2.690603791477001,-2.669036103635049,-2.8294510828142725,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,30,-2.7033520032954947,-2.6781350026703166,-2.829497842015773,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,31,-2.7162179762797596,-2.679929665600966,-2.829541846167924,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,32,-2.7535964629075425,-2.736784998330028,-2.8295780755232984,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,33,-2.7879126358284703,-2.739751820886208,-2.8296264553664665,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,34,-2.792542607687899,-2.74785114613045,-2.829666983102941,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,35,-2.805029070278254,-2.7895555361401136,-2.8297222618941054,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,36,-2.817784202755956,-2.7907560649954157,-2.8297819334235963,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,37,-2.817784289849251,-2.795077659256137,-2.829893600409861,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,38,-2.8177843780060146,-2.798279510313915,-2.8300189558738813,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,39,-2.8177893923102393,-2.808493968301262,-2.83015533086829,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,40,-2.8177933403848265,-2.8214098281586293,-2.8303302366996377,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,41,-2.817816370578638,-2.8216991231160975,-2.830379395849512,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,42,-2.8178339889610178,-2.8224370047490397,-2.8304329603410783,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,43,-2.8178755319403184,-2.823914547988331,-2.8305855954657813,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,44,-2.8179215703149563,-2.823915180582801,-2.8308231457728343,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,45,-2.81792993291064,-2.8239156358200397,-2.83086479751726,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,46,-2.8179366135554336,-2.823919489629765,-2.831003146054715,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,47,-2.8179547445783983,-2.8239222633619554,-2.8311583087068057,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,48,-2.8179692463967756,-2.8359288145700363,-2.831353371694808,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,49,-2.8180570927475057,-2.8359302779472473,-2.8315775864726573,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,50,-2.8181477053551136,-2.8359640385755194,-2.8317032000075386,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,51,-2.818176303900695,-2.835995949306065,-2.8317811771070853,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,52,-2.818208517179868,-2.8359964994623845,-2.8319097926402006,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,53,-2.8182093836890125,-2.83603035535478,-2.831977114981319,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,54,-2.818210259770995,-2.83604900597782,-2.832036843679722,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,55,-2.818302311762706,-2.8360527658211256,-2.8321132167987444,-2.847192133955601,-2.368421284279994,-2.8194898991254087
