iteration,subspace_size,energy,fci_energy,abs_error
0,1,-2.368421284279993,-2.8471921339556028,0.4787708496756098
1,52,-2.704194831490435,-2.8471921339556028,0.14299730246516784
2,191,-2.8310726105031208,-2.8471921339556028,0.01611952345248202
3,200,-2.8471921339556,-2.8471921339556028,2.6645352591003757e-15
