bond_length,layer,n_qubits,one_q_gates,two_q_gates,total_gates
1.0,1,12,102,128,230
1.0,2,12,200,264,464
1.0,3,12,294,384,678
1.0,4,12,388,504,892
1.0,5,12,474,624,1098
1.0,6,12,544,732,1276
1.0,7,12,632,846,1478
1.0,8,12,724,966,1690
1.0,9,12,820,1102,1922
1.0,10,12,918,1238,2156
