bond_length,subspace_size,fci_subspace_energy,fci_energy
1.0,1,-3.1355322139663304,-3.236066279892346
1.0,2,-3.1542449175607485,-3.236066279892346
1.0,3,-3.1629109075549477,-3.236066279892346
1.0,4,-3.171692984509876,-3.236066279892346
1.0,5,-3.1758767554648784,-3.236066279892346
1.0,6,-3.1812224367043243,-3.236066279892346
1.0,7,-3.18764742159341,-3.236066279892346
1.0,8,-3.194111841941542,-3.236066279892346
1.0,9,-3.195183508277203,-3.236066279892346
1.0,10,-3.1963369830100175,-3.236066279892346
1.0,11,-3.1992862610276958,-3.236066279892346
1.0,12,-3.2013167588004747,-3.236066279892346
1.0,13,-3.202479009242718,-3.236066279892346
1.0,14,-3.2037403899334733,-3.236066279892346
1.0,15,-3.205033156234101,-3.236066279892346
1.0,16,-3.206362408505554,-3.236066279892346
1.0,17,-3.208524090215137,-3.236066279892346
1.0,18,-3.2104561585995075,-3.236066279892346
1.0,19,-3.2124150258761537,-3.236066279892346
1.0,20,-3.214731996195068,-3.236066279892346
1.0,21,-3.217088184694099,-3.236066279892346
1.0,22,-3.2179709358941717,-3.236066279892346
1.0,23,-3.219146525696092,-3.236066279892346
1.0,24,-3.2203789647803207,-3.236066279892346
1.0,25,-3.2211246576656105,-3.236066279892346
1.0,26,-3.221898365555403,-3.236066279892346
1.0,27,-3.2230201858845637,-3.236066279892346
1.0,28,-3.2241548039733603,-3.236066279892346
1.0,29,-3.224862715066274,-3.236066279892346
1.0,30,-3.2255914604370606,-3.236066279892346
1.0,31,-3.226073574918332,-3.236066279892346
1.0,32,-3.226505901243132,-3.236066279892346
1.0,33,-3.2272928897519617,-3.236066279892346
1.0,34,-3.227769641830118,-3.236066279892346
1.0,35,-3.2281981328558653,-3.236066279892346
1.0,36,-3.228573505632757,-3.236066279892346
1.0,37,-3.228966259621516,-3.236066279892346
1.0,38,-3.229403014816938,-3.236066279892346
1.0,39,-3.229797891489909,-3.236066279892346
1.0,40,-3.230011742417015,-3.236066279892346
1.0,41,-3.230233211336298,-3.236066279892346
1.0,42,-3.230410952545416,-3.236066279892346
1.0,43,-3.2305912879322753,-3.236066279892346
1.0,44,-3.2309462591626716,-3.236066279892346
1.0,45,-3.2312756082090206,-3.236066279892346
1.0,46,-3.231614165364505,-3.236066279892346
1.0,47,-3.231871653296664,-3.236066279892346
1.0,48,-3.2321390922599678,-3.236066279892346
1.0,49,-3.2324314705428963,-3.236066279892346
1.0,50,-3.2327288425824423,-3.236066279892346
1.0,51,-3.2327877684795867,-3.236066279892346
1.0,52,-3.232833641376481,-3.236066279892346
1.0,53,-3.232957072407978,-3.236066279892346
1.0,54,-3.233111725989622,-3.236066279892346
1.0,55,-3.233268739657519,-3.236066279892346
1.0,56,-3.2333233214108015,-3.236066279892346
1.0,57,-3.2333686042133585,-3.236066279892346
1.0,58,-3.233545425619906,-3.236066279892346
1.0,59,-3.2337233884093597,-3.236066279892346
1.0,60,-3.233819954727673,-3.236066279892346
1.0,61,-3.2339186813885514,-3.236066279892346
1.0,62,-3.233964083387993,-3.236066279892346
1.0,63,-3.2340005883997467,-3.236066279892346
1.0,64,-3.2340667602547177,-3.236066279892346
1.0,65,-3.2341246085707676,-3.236066279892346
