bond_length,subspace_size,greedy_energy,fci_energy
1.0,109,-3.2356940122127127,-3.236066279892346
1.0,110,-3.235710747282416,-3.236066279892346
1.0,111,-3.2357271858870114,-3.236066279892346
1.0,112,-3.2357439818434948,-3.236066279892346
1.0,113,-3.235757983564765,-3.236066279892346
1.0,114,-3.235772112892824,-3.236066279892346
1.0,115,-3.2357856793359154,-3.236066279892346
1.0,116,-3.235798700527138,-3.236066279892346
1.0,117,-3.2358109496041267,-3.236066279892346
1.0,118,-3.2358230143389024,-3.236066279892346
1.0,119,-3.235835169825826,-3.236066279892346
1.0,120,-3.2358467545006078,-3.236066279892346
1.0,121,-3.235857395065752,-3.236066279892346
1.0,122,-3.2358681293359166,-3.236066279892346
1.0,123,-3.23587798555008,-3.236066279892346
1.0,124,-3.235887938368179,-3.236066279892346
1.0,125,-3.2358978766193034,-3.236066279892346
1.0,126,-3.235907501048767,-3.236066279892346
1.0,127,-3.23591525279226,-3.236066279892346
1.0,128,-3.2359236668574165,-3.236066279892346
1.0,129,-3.2359315799455843,-3.236066279892346
1.0,130,-3.23593949865811,-3.236066279892346
1.0,131,-3.2359472021353426,-3.236066279892346
1.0,132,-3.2359545876411975,-3.236066279892346
1.0,133,-3.2359619405257223,-3.236066279892346
1.0,134,-3.235969284316302,-3.236066279892346
1.0,135,-3.2359757776068703,-3.236066279892346
1.0,136,-3.2359821087818266,-3.236066279892346
1.0,137,-3.2359883779780665,-3.236066279892346
1.0,138,-3.2359942533379313,-3.236066279892346
1.0,139,-3.2360008587604976,-3.236066279892346
1.0,140,-3.236006478883467,-3.236066279892346
1.0,141,-3.236011668222853,-3.236066279892346
1.0,142,-3.2360168668756226,-3.236066279892346
1.0,143,-3.2360218062502466,-3.236066279892346
1.0,144,-3.236026798587838,-3.236066279892346
1.0,145,-3.2360295047426626,-3.236066279892346
1.0,146,-3.2360322418746947,-3.236066279892346
1.0,147,-3.236034531084881,-3.236066279892346
1.0,148,-3.2360368823482095,-3.236066279892346
1.0,149,-3.2360390367803733,-3.236066279892346
1.0,150,-3.2360411918497234,-3.236066279892346
1.0,151,-3.2360426014219494,-3.236066279892346
1.0,152,-3.2360439306016255,-3.236066279892346
1.0,153,-3.2360452386129714,-3.236066279892346
1.0,154,-3.236046568680895,-3.236066279892346
1.0,155,-3.2360476355547227,-3.236066279892346
1.0,156,-3.2360487110974874,-3.236066279892346
1.0,157,-3.2360497489730955,-3.236066279892346
1.0,158,-3.236050800985744,-3.236066279892346
1.0,159,-3.236051767457722,-3.236066279892346
1.0,160,-3.236052754285454,-3.236066279892346
1.0,161,-3.236053621546703,-3.236066279892346
1.0,162,-3.236054504224083,-3.236066279892346
1.0,163,-3.236055373279205,-3.236066279892346
1.0,164,-3.236056195874979,-3.236066279892346
1.0,165,-3.236057039810939,-3.236066279892346
1.0,166,-3.2360578578025843,-3.236066279892346
1.0,167,-3.236058626716447,-3.236066279892346
1.0,168,-3.2360594014744186,-3.236066279892346
1.0,169,-3.2360600666445403,-3.236066279892346
1.0,170,-3.2360607378971276,-3.236066279892346
1.0,171,-3.2360613027609144,-3.236066279892346
1.0,172,-3.236061868212007,-3.236066279892346
1.0,173,-3.236062364379406,-3.236066279892346
1.0,174,-3.2360628575022052,-3.236066279892346
1.0,175,-3.2360633356128097,-3.236066279892346
1.0,176,-3.236063807867546,-3.236066279892346
1.0,177,-3.2360641377237034,-3.236066279892346
1.0,178,-3.2360644698952106,-3.236066279892346
1.0,179,-3.236064779801133,-3.236066279892346
1.0,180,-3.236065082448391,-3.236066279892346
1.0,181,-3.2360652446947795,-3.236066279892346
1.0,182,-3.2360653969975472,-3.236066279892346
1.0,183,-3.2360655066087975,-3.236066279892346
1.0,184,-3.2360656165885575,-3.236066279892346
1.0,185,-3.236065707422824,-3.236066279892346
1.0,186,-3.236065806747136,-3.236066279892346
1.0,187,-3.2360659000290006,-3.236066279892346
1.0,188,-3.23606600057912,-3.236066279892346
1.0,189,-3.2360660878411958,-3.236066279892346
1.0,190,-3.236066170732208,-3.236066279892346
1.0,191,-3.236066211059883,-3.236066279892346
1.0,192,-3.236066252550822,-3.236066279892346
1.0,193,-3.2360662604765658,-3.236066279892346
1.0,194,-3.2360662679742798,-3.236066279892346
1.0,195,-3.236066272896835,-3.236066279892346
1.0,196,-3.2360662776020725,-3.236066279892346
1.0,197,-3.2360662782949308,-3.236066279892346
1.0,198,-3.23606627896769,-3.236066279892346
1.0,199,-3.2360662794373893,-3.236066279892346
1.0,200,-3.23606627989237,-3.236066279892346
