subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.1938442321515996,1.0,-1.1938442321515996,1.0,-1.2297792766554254,4.8
2,-1.1956130472792525,1.1012077861363596,-1.3596285051057082,1.9999999999999996,-1.2297792766554254,4.8
3,-1.1956130472792525,1.1012077861363592,-1.3596353209142027,1.9999999991549582,-1.4239952069941997,7.999999999999998
4,-1.2020086799114174,1.0000000000000537,-1.3692871368455133,2.482335979030361,-1.5132683906422146,7.999999999999998
5,-1.2082350118282963,1.000000000000006,-1.5281456045710302,3.996303326079106,-1.7312274275835962,7.999999999999998
6,-1.2082401139065138,1.000000000000006,-1.6232482205194216,4.560302162627869,-1.866335847396058,7.999999999999998
7,-1.3594685673453704,2.9893724164365127,-1.743653620838362,5.235988528304695,-1.866335847455193,7.999999999999998
8,-1.3594685673453832,2.9893724162557684,-1.8663187811355404,6.000000000000001,-1.8663358475453766,7.999999999999998
9,-1.4394965979888328,2.2072910854852195,-1.86631878113554,6.000000000000001,-1.8663358478720669,12.0
10,-1.5297609091238955,2.4975182594539143,-1.8663187811355415,6.0,-1.866335935753072,12.0
11,-1.5297609091238953,2.4975182594539143,-1.8663187811355384,5.999999999999998,-1.866335935901707,12.0
12,-1.6047565580981376,3.221868963200047,-1.8663187811355404,6.000000000000002,-1.8663380263182194,12.0
13,-1.6047565580981369,3.221868963200045,-1.866318781135539,6.000000000000002,-1.8663388354207524,24.0
14,-1.604756558098136,3.2218689632000435,-1.8663187811355397,6.000000000000001,-1.866339444472775,24.0
15,-1.604756558098137,3.221868963200044,-1.8663187811355373,6.0,-1.8663413881792112,24.0
16,-1.6160510179423042,1.8350814450005628,-1.8663187811355397,6.0,-1.866342973831171,24.0
