quantity,value
bond_length,
rhf_energy,-1.575616476701866
uhf_energy,-1.8783518378847521
fci_energy,-1.8977806459898723
n_fci_configs,20
n_configs_below_uhf,16
n_configs_reach_fci,Never
max_subspace_size,254
min_qsci_energy,-1.895601822773147
energy_diff_to_fci,0.0021788232167252453
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,Never
n_configs_chemacc_spin_symm,Never
n_qubits,8
one_q_gates,104
two_q_gates,16
