quantity,value
bond_length,
rhf_energy,-1.2297792766554234
uhf_energy,-1.8663345840893857
fci_energy,-1.8663437074991573
n_fci_configs,36
n_configs_below_uhf,113
n_configs_reach_fci,Never
max_subspace_size,221
min_qsci_energy,-1.8663367657307717
energy_diff_to_fci,6.9417683856709544e-06
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,15
n_configs_chemacc_spin_symm,11
n_qubits,8
one_q_gates,110
two_q_gates,16
