quantity,value
bond_length,
rhf_energy,-1.575616476701866
uhf_energy,-1.8783518378847535
fci_energy,-1.8977806459898727
n_fci_configs,20.0
n_configs_below_uhf,29.0
n_configs_reach_fci,187.0
max_subspace_size,240.0
min_qsci_energy,-1.8977806459898816
energy_diff_to_fci,-8.881784197001252e-15
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,117.0
n_configs_chemacc_spin_symm,117.0
n_qubits,8.0
one_q_gates,108.0
two_q_gates,16.0
