subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.6933957627717025,0.0,-1.6933957627717025,0.0,-2.3684212842799957,45.397435897435905
2,-1.8935499816188275,0.7314355180088713,-1.8935499816188275,0.7314355180088711,-2.4124392414062186,60.0169491525424
3,-1.8935499816188277,0.7314355180088715,-1.93309436317202,2.0,-2.4344662786209788,60.0169491525424
4,-1.8994817932638928,1.0,-1.93309436317202,1.9999999999999998,-2.4871845549746903,68.09615384615388
5,-1.9330943631720199,2.0000000000000004,-1.9330943631720194,2.000000000000001,-2.533419815702622,68.09615384615388
6,-1.933094363172019,2.0,-1.9588191797942298,1.4244064002279537,-2.5570312336105414,80.47727272727276
7,-1.9588191797942296,1.4244064002279584,-2.0064504134192007,2.0,-2.598085808493661,80.47727272727276
8,-1.9793347850795382,1.6232592328192648,-2.0064504134192007,2.0,-2.63382164765907,80.47727272727276
9,-1.9793347850795382,1.6232592328192657,-2.008460126931125,2.010753786261123,-2.648570175915624,86.36585365853662
10,-2.012831408806936,1.7062631076746992,-2.0111142039002488,2.0894317199617944,-2.648880840571773,86.36585365853662
11,-2.012831408806937,1.706263107674692,-2.015737912700127,2.579809853447996,-2.649258693853687,86.36585365853662
12,-2.0249192954626802,2.3159411017361164,-2.0157379127001267,2.5798098534479728,-2.659751317729218,86.36585365853662
13,-2.032041965513175,2.085389808733696,-2.0157379127001285,2.579809853447937,-2.6603461791240828,86.36585365853662
14,-2.0757828383164814,2.2921534008730213,-2.1031843849948224,5.03338725600683,-2.6892180068888734,86.36585365853662
15,-2.128886543275405,2.3099311064943238,-2.1031843849948224,5.033387256006827,-2.716883014523853,86.36585365853662
16,-2.128934718957571,2.310207339125263,-2.1117628918166633,4.3398832721304945,-2.7173088680666133,86.36585365853662
17,-2.1296015024815795,2.3153961123663795,-2.148354708047921,5.580812714736192,-2.7178010595986697,86.36585365853662
18,-2.129601502481579,2.3153961123663787,-2.1483581169051496,5.58055977042448,-2.7354108019708874,86.36585365853662
19,-2.12960150248158,2.3153961123663787,-2.235956722250515,6.55526547861241,-2.7532537391135468,86.36585365853662
20,-2.143251826649991,2.632110788868035,-2.2376626100992887,6.578462003591217,-2.768804273106346,86.36585365853662
21,-2.164522270061127,2.658898812135542,-2.2639119270072827,6.806713223271627,-2.7844373070885746,86.36585365853662
22,-2.164522270061126,2.658898812135541,-2.3101907751059674,7.486112824506475,-2.792861465760518,86.36585365853662
23,-2.1737676858824377,2.6514130788771437,-2.3285899310251663,7.678850288320686,-2.79300929541985,86.36585365853662
24,-2.173767685882439,2.6514130788771437,-2.357848819936233,8.009722749813275,-2.7931733518507658,86.36585365853662
25,-2.1737676858824377,2.651413078877148,-2.357848819936232,8.009722749813276,-2.8110792105865303,86.36585365853662
26,-2.1737676858824377,2.6514130788771437,-2.411067927114804,8.477351263021518,-2.829282563546894,86.36585365853662
27,-2.1737676858824386,2.651413078877143,-2.4630077290341137,9.006985502902015,-2.8293156642640596,86.36585365853662
28,-2.200766153901365,3.279760992203614,-2.5178624295040506,9.562536397242896,-2.8293803935611908,86.36585365853662
29,-2.200766153901365,3.279760992203615,-2.51786242950405,9.562536397242898,-2.829451082814282,86.36585365853662
30,-2.2007661539013643,3.2797609922036157,-2.5770461325113554,10.205567080862284,-2.8294978420157766,86.36585365853662
31,-2.2007661539013643,3.279760992203614,-2.6357536224571767,10.75692077637877,-2.82954184616792,86.36585365853662
32,-2.2007661539013643,3.279760992203615,-2.6748666204670606,11.182461857283126,-2.8295780755233078,86.36585365853662
33,-2.200766153901364,3.2797609922036113,-2.712846513144485,11.5571551339231,-2.829626455366474,86.36585365853662
34,-2.200766153901365,3.279760992203614,-2.7556196433986395,12.000000000000004,-2.8296669831029417,86.36585365853662
35,-2.200766153901365,3.2797609922036166,-2.755619643398639,12.0,-2.829722261894119,88.52500000000005
36,-2.200766153901365,3.279760992203616,-2.7556196433986373,12.000000000000004,-2.829781933423607,88.52500000000005
37,-2.2007661539013648,3.279760992203615,-2.75561964339864,12.000000000000002,-2.829893600409863,88.52500000000005
38,-2.206711540345862,3.2225275071989596,-2.755619643398642,12.0,-2.830018955873884,88.52500000000005
39,-2.215765657491432,3.123864325107937,-2.7556196433986377,12.000000000000004,-2.830155330868304,88.52500000000005
40,-2.2157656574914335,3.1238643251079377,-2.7556196433986386,12.0,-2.8303302366996332,88.52500000000005
41,-2.2157656574914335,3.1238643251079443,-2.7556196433986364,12.000000000000002,-2.8303793958495156,90.79487179487185
42,-2.2320418470292873,3.1531602030889387,-2.7556196433986386,12.000000000000004,-2.8304329603410667,90.79487179487185
43,-2.2320418470292873,3.153160203088939,-2.755619643398639,12.0,-2.8305855954657937,90.79487179487185
44,-2.2320418470292873,3.15316020308894,-2.7556196433986373,12.000000000000004,-2.8308231457728286,90.79487179487185
45,-2.2349481747538786,3.1056754170362875,-2.7556196433986364,12.0,-2.8308647975172643,90.79487179487185
46,-2.235037778323402,3.1108052227861354,-2.755619643398637,12.000000000000005,-2.831003146054718,90.79487179487185
47,-2.235037778323403,3.110805222786137,-2.755619643398638,12.000000000000007,-2.8311583087068013,90.79487179487185
48,-2.2426242753518517,3.067098882566389,-2.755619643398638,12.000000000000005,-2.8313533716948243,90.79487179487185
49,-2.248979897419632,3.1020643785763014,-2.7556196433986395,11.999999999999998,-2.8315775864726476,90.79487179487185
50,-2.2490119841496314,3.1009886523963246,-2.7556196433986404,12.000000000000005,-2.831703200007534,90.79487179487185
51,-2.2490820154145448,3.105327685105927,-2.7556196433986426,12.0,-2.831781177107079,90.79487179487185
52,-2.249668278682672,3.1044093185497057,-2.755619643398637,12.000000000000004,-2.8319097926401997,90.79487179487185
53,-2.2496682786826607,3.104409318549707,-2.7556196433986475,12.0,-2.83197711498134,95.70270270270275
54,-2.249668278682663,3.104409318549706,-2.7556196433986346,12.0,-2.832036843679739,95.70270270270275
55,-2.2496682786826643,3.1044093185497124,-2.7556196433986435,11.999999999999996,-2.832113216798726,95.70270270270275
56,-2.249668278682655,3.104409318549708,-2.7556196433986453,11.999999999999996,-2.8321820105286575,95.70270270270275
57,-2.2496682786826625,3.1044093185497066,-2.7556196433986533,12.0,-2.8323055685979823,95.70270270270275
58,-2.2598210136496437,2.923104048701505,-2.7556196433986466,12.000000000000002,-2.832403716429152,95.70270270270275
59,-2.259871643247974,2.930333777161064,-2.755619643398647,12.000000000000004,-2.8325214419837272,95.70270270270275
60,-2.2598716432479655,2.930333777161034,-2.7556196433986475,11.999999999999998,-2.8326186686351345,95.70270270270275
61,-2.3072254374307426,2.0169529316270465,-2.755619643398655,12.0,-2.8327914937018512,101.17142857142863
62,-2.307636438803699,2.02225640678773,-2.7556196433986435,12.0,-2.833001406359494,101.17142857142863
63,-2.3076364388036943,2.02225640678773,-2.7556196433986435,12.000000000000005,-2.8331262699029134,104.14705882352948
64,-2.309233686133037,1.9969808904621822,-2.755619643398651,12.0,-2.8332978761394063,104.14705882352948
65,-2.3092336861330254,1.9969808904621789,-2.7556196433986426,11.999999999999998,-2.833440853201082,104.14705882352948
66,-2.309233686133028,1.9969808904621775,-2.755619643398645,12.000000000000004,-2.833680389021035,104.14705882352948
67,-2.3092336861330387,1.9969808904621813,-2.755619643398657,12.0,-2.8339501559645037,104.14705882352948
68,-2.3092336861330307,1.99698089046218,-2.7556196433986497,12.0,-2.834023657045206,104.14705882352948
69,-2.3092435872906334,1.9970627474144562,-2.7556196433986457,12.000000000000002,-2.8341052228604413,107.30303030303037
70,-2.3216887456712865,1.84366132240641,-2.7556196433986475,12.0,-2.8341957145807863,107.30303030303037
71,-2.321688745671295,1.8436613224064144,-2.7556196433986395,12.000000000000004,-2.8343893352556098,118.03333333333339
72,-2.321688745671281,1.8436613224064164,-2.755619643398645,12.0,-2.834656250127494,118.03333333333339
73,-2.324568177894554,2.23156183430274,-2.755619643398647,12.0,-2.834888849810065,118.03333333333339
74,-2.3288669540372333,2.261079949445836,-2.7556196433986515,12.0,-2.834996518454357,118.03333333333339
75,-2.332261298601605,1.7630191701035796,-2.755619643398648,12.0,-2.8351258757685383,118.03333333333339
76,-2.3385299607409977,1.7602543305241323,-2.755619643398643,12.0,-2.8352601034869034,118.03333333333339
77,-2.338530788419096,1.7610990132379376,-2.7556196433986404,12.0,-2.8353585891502626,126.46428571428577
78,-2.3385307884190887,1.7610990132380113,-2.7556196433986413,12.0,-2.835534751412214,126.46428571428577
79,-2.344587770102077,1.8588343338383997,-2.7556196433986444,12.000000000000004,-2.835683209440235,126.46428571428577
80,-2.345745925545501,1.8432989493625065,-2.7556196433986404,12.0,-2.8360735956692884,131.1481481481482
81,-2.373553433035183,2.074281456278948,-2.755619643398655,12.000000000000004,-2.836524258077418,136.1923076923077
82,-2.3735534330351804,2.074281456278956,-2.7556196433986404,12.0,-2.836807940228116,136.1923076923077
83,-2.373553433035182,2.0742814562789698,-2.7556196433986457,12.000000000000004,-2.8370403109760667,147.54166666666669
84,-2.373553433035187,2.074281456278962,-2.7556196433986413,12.0,-2.837372943584333,153.9565217391305
85,-2.3735534330351817,2.074281456278956,-2.7556196433986426,11.999999999999998,-2.8375428330623347,153.9565217391305
86,-2.373553433035184,2.0742814562789516,-2.7556196433986506,11.999999999999998,-2.8376819835097074,153.9565217391305
87,-2.3735534330351897,2.074281456278965,-2.755619643398649,12.0,-2.837865765424853,153.9565217391305
88,-2.3739174118950768,2.107035833078979,-2.755619643398645,12.000000000000005,-2.8379974312952894,153.9565217391305
89,-2.3770790352052056,2.05381198732585,-2.7556196433986457,12.000000000000004,-2.838379150935117,153.9565217391305
90,-2.3770790352052056,2.0538119873258487,-2.7556196433986435,12.000000000000002,-2.838956172923546,160.95454545454552
91,-2.3806674031757677,2.0887958258668675,-2.755619643398644,12.000000000000007,-2.8397432522545167,160.95454545454552
