quantity,value
bond_length,
rhf_energy,-1.5756164767018657
uhf_energy,-1.8783518378847535
fci_energy,-1.8977806459898732
n_fci_configs,20
n_configs_below_uhf,Never
n_configs_reach_fci,Never
max_subspace_size,64
min_qsci_energy,-1.8453779619233175
energy_diff_to_fci,0.05240268406655568
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,Never
n_configs_chemacc_spin_symm,Never
n_qubits,8
one_q_gates,105
two_q_gates,16
