quantity,value
bond_length,
rhf_energy,-1.575616476701866
uhf_energy,-1.878351837884754
fci_energy,-1.8977806459898727
n_fci_configs,20
n_configs_below_uhf,24
n_configs_reach_fci,Never
max_subspace_size,36
min_qsci_energy,-1.8977806459898725
energy_diff_to_fci,2.220446049250313e-16
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,29
n_configs_chemacc_spin_symm,30
n_qubits,8
one_q_gates,107
two_q_gates,16
