quantity,value
bond_length,2
rhf_energy,-2.368421284279992
uhf_energy,-2.819489899125407
fci_energy,-2.847192133955601
n_fci_configs,200
n_configs_below_uhf,124
n_configs_reach_fci,Never
max_subspace_size,400
min_qsci_energy,-2.8471921339555903
energy_diff_to_fci,1.0658141036401503e-14
chemical_accuracy_tol,0.0016
n_configs_chemacc_qsci,396
n_configs_chemacc_spin_symm,377
