subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.5756164767018666,0.0,-1.5756164767018666,0.0,-1.5756164767018666,6.494159928122192
2,-1.5756164767018666,1.7039864029462542e-31,-1.5756164767018666,1.7039864029462542e-31,-1.6476408473837783,8.270022883295194
3,-1.611945178502095,2.0,-1.611945178502095,2.0,-1.6527669810818375,8.270022883295194
4,-1.6476408473837783,1.2899466461843562e-29,-1.6476408473837783,1.2899466461843562e-29,-1.7431945469626238,11.927392739273925
5,-1.6572441171647394,1.871843701482248,-1.6572441171647396,1.871843701482248,-1.817741361712274,12.250847457627119
6,-1.7222918240955343,2.0000000000000004,-1.722291824095534,2.0,-1.8888389566571762,12.250847457627119
7,-1.7222918240955356,2.0000000000000004,-1.722291824095537,2.0,-1.8891500937418886,16.77030162412993
8,-1.7222918240955356,2.000000000000001,-1.7222918240955356,2.0000000000000004,-1.8895929517588574,16.77030162412993
9,-1.7398948563091918,0.892355413137062,-1.753623550501569,0.8840337040109268,-1.8905998811690654,16.77030162412993
10,-1.7555352318334614,1.9357404925579043,-1.7575564483387531,0.44439087455997006,-1.8931403427600684,16.77030162412993
11,-1.7982004555735904,1.5114084965765162,-1.8008589758606468,2.142831955630341,-1.8935950444783596,16.77030162412993
12,-1.7982004555735904,1.5114084965765162,-1.8400816452333688,6.0,-1.8957057519727243,16.77030162412993
13,-1.844765809212936,1.550446355345369,-1.840081645233369,5.999999999999998,-1.8961450969601201,24.924137931034487
14,-1.8447658092129364,1.550446355345363,-1.8400816452333673,6.000000000000003,-1.8964896888926783,24.924137931034487
15,-1.8762261960717836,2.000000000000001,-1.8464104816198654,-1.3432653728834486e-17,-1.897100872644672,33.61860465116279
16,-1.8790038845895998,1.579289082024666,-1.8464104816198654,-6.739827032397392e-18,-1.8975559210903832,37.257731958762896
17,-1.8793374174380317,1.569908688713381,-1.8762261960717854,2.0,-1.8976143299228894,37.257731958762896
18,-1.879586550011933,1.5621924765801727,-1.893724050717648,7.089887385673844e-29,-1.8976545830126994,52.75912408759123
19,-1.8799703436155302,1.5494782032251033,-1.894074885923959,0.0007178078125084928,-1.8977536486075195,278.0
20,-1.8799703436155313,1.5494782032251,-1.894286139340931,2.1213508341714648e-17,-1.8977806459898767,278.0
21,-1.8799703436155288,1.549478203225096,-1.8947550448660675,0.0013771788419953415,-1.89778064598988,380.421052631579
22,-1.8799703436155304,1.5494782032251027,-1.894980326758476,1.4154847223792787e-17,-1.8977806459898745,380.421052631579
23,-1.8799703436155308,1.5494782032250987,-1.894980326758476,-2.1284292973517642e-17,-1.8977806459898765,602.3333333333333
24,-1.87997034361553,1.5494782032250978,-1.894980326758476,2.1284292973986423e-17,-1.8977806459898752,602.3333333333333
25,-1.8799703436155306,1.5494782032251055,-1.8949803267584753,7.129445750447009e-18,-1.8977806459898754,657.090909090909
26,-1.8799782498870485,1.5511670357256624,-1.894980326758476,-2.4796993710193465e-17,-1.8977806459898767,657.090909090909
27,-1.8799915873842366,1.5536023507651942,-1.894980326758476,-3.5127007363468675e-18,-1.897780645989868,722.8
28,-1.8800792691942345,1.554250021035147,-1.894980326758476,-1.4154847223101892e-17,-1.8977806459898776,722.8
29,-1.880079269194236,1.5542500210351475,-1.894980326758476,1.0642146487242245e-17,-1.897780645989875,903.5000000000002
30,-1.8803539893034975,1.5491818579542445,-1.894980326758476,3.512700737283196e-18,-1.8977806459898736,903.5000000000002
31,-1.8803817169885386,1.5507971797609774,-1.8951135469179254,0.00041825201002682305,-1.897780645989874,1445.6000000000001
32,-1.8818756880736867,1.9999999999999998,-1.8951880539848691,7.267381089348571e-29,-1.8977806459898734,1445.6000000000001
33,-1.8818756880736873,2.0,-1.8953129478537727,0.0011772189945545072,-1.8977806459898727,1807.0000000000005
