subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
1,-1.974560839835494,-1.974560839835494,55.50728403671442
2,-1.9745608398857184,-1.974560839835494,59.706471217234885
3,-1.9745608398873893,-2.062094317759456,70.36668665133655
4,-1.974560839887387,-2.062094317759458,72.90261374667195
5,-1.9754794256603343,-2.10482932104144,74.43730208689345
6,-1.9754823959107315,-2.139900071980691,76.75069734271912
7,-2.0797369060278936,-2.1425560588226116,77.08711318520845
8,-2.0797572913614166,-2.191595091006743,78.41777678129237
9,-2.1196031841287923,-2.2227254583790446,80.06856598496249
10,-2.1196372236596512,-2.2261651596002165,81.69847258497462
11,-2.1200652938872686,-2.2301453882699485,82.55697214017422
12,-2.120258413297013,-2.234334142716557,84.90165238921143
13,-2.120263400132318,-2.27083320313948,92.41877830272486
14,-2.1204188335498997,-2.292238368856625,94.3643055505072
15,-2.1243774215552453,-2.319009403212228,96.33295711565694
16,-2.1244180626341285,-2.3403043009499473,96.67174226089236
17,-2.1297258666681507,-2.356173725365403,97.29700099566192
18,-2.1372226507541114,-2.3824842788829677,99.89306758094281
19,-2.137243530600193,-2.4031644299861865,101.24530743875113
20,-2.1642197061244,-2.41899649945241,103.3766438181067
21,-2.1993410674567766,-2.4329541696631782,103.62065143545354
22,-2.2073742023917746,-2.443279451611777,103.98506605010928
23,-2.2078460037798244,-2.468859275706382,106.58942868090072
24,-2.217681896521163,-2.4926673678782256,107.30181261644772
25,-2.2974168031414477,-2.5033668561548006,109.56064576719477
26,-2.29789527468249,-2.5198569093919407,111.50883128223147
27,-2.298945471231037,-2.536080434943509,112.96561976594568
28,-2.306304588271763,-2.558878301132136,113.77095565999274
29,-2.3195929665658768,-2.5806060342084027,113.85622727265817
30,-2.3233497450696907,-2.604459553921535,117.3947012451742
31,-2.341324598771778,-2.6262474125435005,122.12146793329781
32,-2.3425452244419196,-2.639449453904089,122.37785377821108
33,-2.3427243925863963,-2.6415670549278603,122.55094648860135
34,-2.3511061089177874,-2.645206362679561,131.19837960377959
35,-2.3523742066753464,-2.6482684392148137,133.784776133681
36,-2.3542535566666674,-2.6510135323013233,133.9602644400837
37,-2.3543419086634594,-2.6547117697992433,134.25527238096555
38,-2.3544136382914305,-2.657798107232615,138.12354053333976
39,-2.3544885731096614,-2.661615040223513,140.09387441927282
40,-2.376551260764871,-2.664884662480711,141.7877958276138
41,-2.3795949653856203,-2.6687514693798,142.24556209074404
42,-2.3850596209196997,-2.6719723555499826,142.28643721100246
43,-2.38537451959399,-2.6786100104150923,144.22765094495674
44,-2.394804068568349,-2.6840753686432928,147.3469181675068
45,-2.3950801949797866,-2.6901781648147605,147.865109953226
46,-2.3965609468297355,-2.6952628284866558,153.00659555118665
47,-2.4014906811243186,-2.6953562187483975,153.36348426706368
48,-2.4066122991963907,-2.69545697357307,154.40306957358644
49,-2.4074592828532486,-2.6983980425151093,157.72373794425076
50,-2.4126157965173385,-2.6985186895456788,158.00222778600084
51,-2.413116197541177,-2.6986476581953234,162.00519631063247
52,-2.4158324532504754,-2.7023796816686465,164.9656007869108
53,-2.4187036730320752,-2.70549098598951,166.08383186701036
54,-2.4209442467237703,-2.7064619671605885,167.4539380418307
55,-2.4234440781576247,-2.7076327826479765,173.36453696890308
56,-2.4289491611006717,-2.710455346862889,173.97422789498123
57,-2.430791318222749,-2.713323452106495,174.01936154981152
58,-2.4330863803638465,-2.7157452160402014,180.32496218986495
59,-2.434411118778635,-2.716969612729211,183.68016273667945
60,-2.441053902093184,-2.7185190032098574,183.99764629643283
61,-2.4459561555218907,-2.721782415722,187.871019662449
62,-2.4474781749931487,-2.7244132104277794,193.70975794835465
63,-2.4544285453760026,-2.7276679467436376,194.41917269884195
64,-2.455540959650753,-2.730269864997082,195.73705691495763
65,-2.457248759308599,-2.731106475605058,197.5470415329627
66,-2.458626605422219,-2.7319448884749247,197.5757693775955
67,-2.4646030635955536,-2.7329994081565494,204.74663748590095
68,-2.4677777688136473,-2.733933452629351,207.15250161448245
69,-2.4687923914664163,-2.73494138439568,207.5161598463793
70,-2.471061664621948,-2.735681482353325,209.3643267993131
71,-2.474353774520102,-2.7367812061895904,211.51331273684045
72,-2.477462313764413,-2.737880914756218,212.77571865659772
73,-2.4807350830874833,-2.737890470479995,212.98733085829576
74,-2.4873666280807605,-2.7379031246125103,214.43108065763
75,-2.4906410112553363,-2.74055817214969,217.25490531016837
76,-2.494082112874964,-2.7405768093383966,217.57294517505645
77,-2.4998957526711187,-2.740602652341936,218.08681661878103
78,-2.505114364880348,-2.7407566298576307,224.00684893465282
79,-2.514490420766018,-2.740998232837982,225.7282558923511
80,-2.5211660618815444,-2.7419146117198516,227.25837095992546
81,-2.5226130375251876,-2.742741130563167,232.8516820749041
82,-2.530960430831479,-2.7435631325400776,234.57846040220818
83,-2.5425393403416137,-2.7441945056261217,236.1685672117029
84,-2.5502361705486782,-2.7445926524721167,243.13308479787162
85,-2.5517666822902343,-2.7449963119854073,243.98813876809166
86,-2.555515749462521,-2.7453392286119205,249.8395027021699
87,-2.5579474295097,-2.74565078792913,255.09036769650658
88,-2.5595927076860003,-2.7461752654550926,255.9906468783692
89,-2.5601336967734887,-2.7467069603742535,268.7401362882168
90,-2.561979994436936,-2.748787167511507,270.3499009214815
91,-2.563869124045386,-2.7496669747088744,272.5492826755263
92,-2.5706898149096284,-2.7503869414432836,273.729733803131
93,-2.5718378940205615,-2.750810667200482,274.69239051375604
94,-2.573043380230406,-2.751526473557979,275.9988921130698
95,-2.5740012566422226,-2.75338099634115,277.86977027046515
