bond_length,subspace_size,greedy_energy,fci_energy
2.0,1,-2.368421284279983,-2.8471921339555992
2.0,2,-2.4124392414061986,-2.8471921339555992
2.0,3,-2.454768635292456,-2.8471921339555992
2.0,4,-2.5111343584009203,-2.8471921339555992
2.0,5,-2.5411627459495945,-2.8471921339555992
2.0,6,-2.5822753695434764,-2.8471921339555992
2.0,7,-2.6138024602264336,-2.8471921339555992
2.0,8,-2.6387645852394295,-2.8471921339555992
2.0,9,-2.6621408778480333,-2.8471921339555992
2.0,10,-2.6903736171512924,-2.8471921339555992
2.0,11,-2.7063911511073124,-2.8471921339555992
2.0,12,-2.720521479206301,-2.8471921339555992
2.0,13,-2.735345874452543,-2.8471921339555992
2.0,14,-2.749054076752622,-2.8471921339555992
2.0,15,-2.7651720284387413,-2.8471921339555992
2.0,16,-2.7795621915681052,-2.8471921339555992
2.0,17,-2.793153618528146,-2.8471921339555992
2.0,18,-2.8065443048270406,-2.8471921339555992
2.0,19,-2.8189067521626603,-2.8471921339555992
2.0,20,-2.8289043464483203,-2.8471921339555992
2.0,21,-2.829104822021038,-2.8471921339555992
2.0,22,-2.8293274174898198,-2.8471921339555992
2.0,23,-2.8294594448309214,-2.8471921339555992
2.0,24,-2.829608052479932,-2.8471921339555992
2.0,25,-2.829692085993392,-2.8471921339555992
2.0,26,-2.829773172793866,-2.8471921339555992
2.0,27,-2.829853749894431,-2.8471921339555992
2.0,28,-2.829932780491843,-2.8471921339555992
2.0,29,-2.8300193105349436,-2.8471921339555992
2.0,30,-2.8301113488680874,-2.8471921339555992
2.0,31,-2.8302083610081255,-2.8471921339555992
2.0,32,-2.830313370749558,-2.8471921339555992
2.0,33,-2.830414601935804,-2.8471921339555992
2.0,34,-2.8305177249354356,-2.8471921339555992
2.0,35,-2.830607641957413,-2.8471921339555992
2.0,36,-2.830693185657308,-2.8471921339555992
2.0,37,-2.8307899155239404,-2.8471921339555992
2.0,38,-2.830882945557996,-2.8471921339555992
2.0,39,-2.830968890844156,-2.8471921339555992
2.0,40,-2.831058482282758,-2.8471921339555992
2.0,41,-2.8311302996292627,-2.8471921339555992
2.0,42,-2.8312078824810554,-2.8471921339555992
2.0,43,-2.8312948474612147,-2.8471921339555992
2.0,44,-2.831386948056572,-2.8471921339555992
2.0,45,-2.8314564479610302,-2.8471921339555992
2.0,46,-2.831524541151455,-2.8471921339555992
2.0,47,-2.8315997681422447,-2.8471921339555992
