bond_length,layer,max_subspace_size,min_abs_error,n_configs_to_chem_acc,rhf_energy,uhf_energy,fci_energy
2.0,1,124,0.009778131972410176,,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,2,138,0.009778131972404402,,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,3,396,1.4210854715202004e-14,353.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,4,397,0.0004213196641718042,360.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,5,399,3.990665963460316e-06,347.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,6,403,4.440892098500626e-16,319.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,7,403,4.440892098500626e-16,315.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,8,399,8.881784197001252e-16,344.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,9,403,0.0006268684344052922,348.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
2.0,10,405,0.0,342.0,-2.368421284279992,-2.8194898991254096,-2.8471921339555992
