subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
1,-2.3684212842799868,-2.3684212842799868,-2.3684212842799868,1.0706167665565136
2,-2.412439241406216,-2.412439241406216,-2.412439241406216,42.73951619097115
3,-2.418812009485563,-2.427714890713535,-2.4344662786209748,86.6121557891258
4,-2.425219138701044,-2.4420494396305004,-2.487184554974687,86.6121557891258
5,-2.4523522534645235,-2.462637934175457,-2.533419815702616,86.6121557891258
6,-2.453722947126832,-2.4717619747223547,-2.557031233610546,86.6121557891258
7,-2.455111179120075,-2.491775687539639,-2.598085808493658,86.6121557891258
8,-2.4653854109544326,-2.491915175599806,-2.633821647659067,86.6121557891258
9,-2.503613240009874,-2.536637105951996,-2.648570175915615,178.35319617918117
10,-2.5424492767007947,-2.5388218814443357,-2.6488808405717768,243.34486286040803
11,-2.5608428638999294,-2.556768376566225,-2.6492586938536915,243.34486286040803
12,-2.564280210399804,-2.561171585727373,-2.6597513177292105,243.34486286040803
13,-2.567693008702023,-2.576750302387013,-2.6603461791240783,243.34486286040803
14,-2.5851912250841407,-2.57806529136184,-2.6892180068888734,243.34486286040803
15,-2.6034383166753354,-2.5793775024206065,-2.716883014523858,243.34486286040803
16,-2.6065010312573555,-2.595948762819302,-2.717308868066607,350.7254594329635
17,-2.6091628867325634,-2.618329055185952,-2.717801059598669,1666.381313118567
18,-2.613654963228053,-2.627464388899147,-2.7354108019708825,9798.761114743942
19,-2.6181933198967187,-2.6373197426351456,-2.753253739113548,9798.761114743942
20,-2.6363182579236026,-2.63748711960213,-2.768804273106342,9798.761114743942
21,-2.6534944859235443,-2.6381271864127362,-2.7844373070885773,9798.761114743942
22,-2.6581206177744465,-2.6385773810956343,-2.792861465760519,9798.761114743942
23,-2.6627072360602946,-2.6400554880386222,-2.7930092954198424,9798.761114743942
24,-2.6629887217263266,-2.644668664247475,-2.79317335185077,13954.374737310101
25,-2.663179038644443,-2.6516573215750237,-2.811079210586536,14151.793122210545
26,-2.6765445402817885,-2.6630714063197187,-2.829282563546894,20026.52200486598
27,-2.6903164320179194,-2.664720201679418,-2.8293156642640582,20026.52200486598
28,-2.6904859825074374,-2.666681090795176,-2.82938039356118,20026.52200486598
29,-2.6906037914770025,-2.677118928462418,-2.8294510828142796,20026.52200486598
30,-2.703352003295489,-2.6782943560626924,-2.8294978420157735,20026.52200486598
31,-2.7162179762797587,-2.6799296656009637,-2.82954184616792,20026.52200486598
32,-2.7535964629075407,-2.698113185317254,-2.829578075523298,20056.273080974977
33,-2.787912635828474,-2.7177672234010646,-2.8296264553664723,20056.273080974977
34,-2.7925426076879027,-2.7475726045491218,-2.829666983102941,20056.273080974977
35,-2.805029070278258,-2.760688754726926,-2.8297222618940974,20056.273080974977
