subspace_size,qsci_energy,qsci_S2,spin_symm_energy,spin_symm_S2,fci_subspace_energy,mean_sample_number
1,-1.1703297725492028,1.0,-1.1703297725492023,1.0,-1.229779276655423,10.972624798711754
2,-1.1799047967069451,1.9999999999995755,-1.3579824010008885,2.0,-1.229779276655423,10.972624798711754
3,-1.2144419402326778,0.9567118764535456,-1.3579824010008885,1.9999999999999998,-1.4239952069950463,11.300165837479272
4,-1.214441940232678,0.9567118764535538,-1.3593964005140722,2.9901658428583144,-1.5132683906433666,11.300165837479272
5,-1.3596285051052215,2.0,-1.5280348806868782,3.9976150945667768,-1.7312274275840396,11.300165837479272
6,-1.3596285051052217,2.0,-1.6231613949973553,4.561114105150012,-1.86633584739606,11.300165837479272
7,-1.3621907054474924,2.0,-1.7436528094242343,5.235995238842824,-1.8663358474551972,11.300165837479272
8,-1.362190705447493,2.0000000000000004,-1.866318781135539,6.000000000000002,-1.8663358475453768,11.300165837479272
9,-1.3771167887960658,2.0000000000000004,-1.866318781135539,6.0,-1.8663358478720693,11.337770382695508
10,-1.3771167887960651,2.0000000000000004,-1.866318781135539,6.000000000000001,-1.8663359357530682,14.591006423982874
11,-1.3771167887960654,2.0,-1.8663187811355395,6.000000000000002,-1.8663359359017073,14.591006423982874
12,-1.4276922369182221,1.7016409518986555,-1.8663187811355386,5.999999999999998,-1.866338026318222,17.427109974424553
13,-1.4428897873615372,0.47326178261589935,-1.8663187811355386,6.0,-1.8663388354207473,20.77439024390244
14,-1.4462627639816816,1.7387205890022956,-1.8663187811355368,6.0,-1.8663394444727777,20.77439024390244
15,-1.4462627639816816,1.7387205890022952,-1.8663187811355384,6.000000000000002,-1.8663413881792137,23.098305084745764
16,-1.4462627639816816,1.7387205890022952,-1.8663187811355364,6.000000000000001,-1.8663429738311632,27.365461847389557
17,-1.520237540685882,1.5055830256493499,-1.8663187811355368,6.000000000000002,-1.8663429889291583,27.365461847389557
18,-1.5202375406858817,1.505583025649349,-1.8663187811355368,6.0,-1.8663430008415816,28.751054852320674
19,-1.5379083268724336,1.4786100085759317,-1.8663187811355373,6.0,-1.8663437063378778,30.55605381165919
20,-1.5379090750746505,1.4785635169269535,-1.866318781135539,6.000000000000002,-1.8663437074991576,30.55605381165919
21,-1.537909075074651,1.4785635169269522,-1.86631878113554,6.000000000000002,-1.8663437074991613,34.24120603015075
22,-1.5379347419236586,1.5087111699253555,-1.8663187811355382,5.999999999999998,-1.8663437074991607,34.24120603015075
23,-1.5379347419236586,1.508711169925355,-1.866318781135539,6.000000000000002,-1.8663437074991556,38.067039106145245
24,-1.5379347419236586,1.508711169925355,-1.86631878113554,5.999999999999998,-1.8663437074991607,45.42666666666667
25,-1.5379347419236586,1.508711169925355,-1.8663187811355388,6.000000000000001,-1.866343707499161,45.42666666666667
26,-1.603251962242988,1.8168676673841258,-1.8663187811355397,6.000000000000001,-1.866343707499161,45.42666666666667
